program_name,state,city,zip_code,incentive_type,service_category,property_type,description,eligibility_criteria,incentive_amount,valid_until,updated_at,program_links,quarantine_reason
Florida Solar Easement and Access Laws,Florida,,,,,,"Florida law forbids ordinances, deed restrictions, covenants, declarations or similar binding agreements from prohibiting the use of solar collectors (including clothes lines) or ""other energy devices based on renewable resources,"" although certain restrictions related to visibility may be imposed on property owners, as long as the effective operation of the system does not suffer as a result. Community associations are specifically prohibited from preventing the installation of solar collectors on residential rooftops. Legislation that took effect in July 2008 ( HB 697 ) extended the applicat",,,,"January 3, 2025",https://programs.dsireusa.org/system/program/detail/28,out of scope: Solar/Wind Access Policy; amount: missing incentive_amount
City of Gainesville - Public Facilities Landscaping Ordinances,Florida,,,,,,"The City of Gainesville requires the design process for buildings within its public services and operations (PS) district to take into consideration current and future solar access. In addition, trees that are required by landscaping ordinances may be relocated if they conflict with planned solar energy generation. Other regulated trees may be removed if they prevent reasonable development of the site, including the installation of solar energy equipment",,,,"January 3, 2025",https://programs.dsireusa.org/system/program/detail/289,out of scope: Solar/Wind Access Policy; amount: missing incentive_amount
Solar Contractor Licensing,Florida,,,,,,"Florida has licensing requirements for all solar contractors. State licensure for such contractors is required by those who install, alter, repair, maintain, relocate, or replace a solar thermal or solar photovoltaic system. Those employed by a licensed contractor are not required to be licensed. Plumbing contractors are also allowed to provide services related to installing, maintaining, repairing, and altering solar heating water systems. Such contractors can do so without obtaining additional local regulatory licenses, certificates, or registrations. To qualify for a license, installers mus",,,,"May 10, 2024",https://irecusa.org/solar-licensing-database/,out of scope: Solar/Wind Contractor Licensing; amount: missing incentive_amount
Energy Conservation in Public Buildings,Florida,,,,,,"The Florida Energy Conservation and Sustainable Buildings Act requires the use of energy-efficient equipment and design, and solar energy devices for heating and cooling state buildings where life-cycle cost analysis determines that solar-energy systems will be cost-effective over the life of the building. Florida law also requires that all new educational facilities include passive solar design. Florida mandates that schools with hot water demands exceeding 1,000 gallons per day must include a solar water heating system that provides at least 65% of hot water needs whenever economically feasi",,,,"June 23, 2024",https://www.dms.myflorida.com/business_operations/real_estate_development_and_management/helpful_links2/sustainable_buildings_and_energy_initiatives,out of scope: Energy Standards for Public Buildings; amount: missing incentive_amount
Solar Equipment Certification,Florida,,,,,,"Under the Solar Energy Standards Act of 1976, the Florida Solar Energy Center (FSEC) is responsible for certifying all solar equipment sold in Florida, unless the equipment has been otherwise certified by a licensed engineer to meet the standards in Florida's most recent building code. A manufacturer who wishes to have their solar equipment certified first contacts FSEC for an application and requests that FSEC test samples of the product at random. Equipment is then subjected to a series of tests in order to be approved or denied certification. Standards and applications procedures for specif",,,,"May 8, 2024",https://energyresearch.ucf.edu/solar-certification/,out of scope: Equipment Certification; amount: missing incentive_amount
Fuel Mix Disclosure,Florida,,,,,,"In March 1999, the Florida Public Service Commission issued an order requiring the state's investor-owned electric utilities, which serve about 80% to 85% of the state's electric customers, to provide information on their fuel mix to customers on a quarterly basis, effective April 18, 1999. This legislation was updated on February 1, 2016. The information must be included as a bill insert or on the bill itself, and must be based on data available for the most recent 12-month period. A standard label is not required. Florida was the first state to institute an environmental-disclosure requireme",,,,"January 2, 2026",https://programs.dsireusa.org/system/program/detail/533,out of scope: Generation Disclosure; amount: missing incentive_amount
Energy-Efficient Mortgages,Florida,,,Finance Solutions,,,"Homeowners can take advantage of energy efficient mortgages (EEM) to either finance energy efficiency improvements to existing homes, including renewable energy technologies, or to increase their home buying power with the purchase of a new energy efficient home. The U.S. federal government supports these loans by insuring them through Federal Housing Authority (FHA) or Veterans Affairs (VA) programs. This allows borrowers who might otherwise be denied loans to pursue energy efficiency, and it secures lenders against loan default. FHA Energy Efficient Mortgages The FHA allows lenders to add up",,,,"May 16, 2025",https://www.energystar.gov/newhomes/energy-efficient-mortgages,amount: missing incentive_amount
JEA - Green Power Program,Florida,,,,,,"In November 1999, JEA, a municipal utility, signed a Memorandum of Understanding with the Sierra Club and the American Lung Association of Florida to formalize the municipal utility's commitment to generate at least 7.5% of its electric capacity from green energy sources by 2015. Eligible renewable-energy resources include solar, biomass, biogas (methane from landfills and sewage treatment plants), and wind, as well as specific efficiency projects (which are located at JEA facilities where improvements made result in additional power output with no additional fuel input). To date, 95 megaWatts",,,,"January 3, 2025",https://www.jea.com/Environment/Compliance_and_Reporting/Air_and_Water_Quality/,out of scope: Renewables Portfolio Standard; amount: missing incentive_amount
Green Power Purchasing Goal for Federal Government,Florida,,,Finance Solutions,,,"The federal Energy Policy Act of 2005 (EPAct 2005) extended and expanded several previous goals and standards to reduce energy use in existing and new federal buildings. Section 203 of EPAct 2005 required that, to the extent it is economically feasible and technically practicable, the total amount of renewable electric energy consumed by the federal government during 2013 and thereafter shall not be less than 7.5%. That target was updated and expanded by a Presidential Memorandum on December 5, 2013, and again by an Executive Order on March 19, 2015. The Executive Order established additional",,,,"August 27, 2021",https://www.sustainability.gov/index.html,amount: missing incentive_amount
Energy and Emissions Goals and Standards for Federal Government,Florida,,,,,,"Overall Goals Goals outlined by President Joe Biden, Executive Order 14057, December 2021: 100 percent carbon pollution-free electricity on a net annual basis by 2030, including 50 percent 24/7 carbon pollution-free electricity. 100 percent zero-emission vehicle acquisitions by 2035, including 100 percent zero-emission light-duty vehicle acquisitions by 2027. A net-zero emissions building portfolio by 2045, including a 50 percent emissions reduction by 2032. A 65 percent reduction in scope 1 and 2 greenhouse gas emissions, as defined by the Federal Greenhouse Gas Accounting and Reporting Guida",,,,"June 26, 2024",https://www.sustainability.gov/index.html,out of scope: Energy Standards for Public Buildings; amount: missing incentive_amount
