city,zip,county
Tampa,33602,Hillsborough
Tampa,33603,Hillsborough
Tampa,33604,Hillsborough
Tampa,33605,Hillsborough
Tampa,33606,Hillsborough
Tampa,33607,Hillsborough
Tampa,33609,Hillsborough
Tampa,33610,Hillsborough
Tampa,33611,Hillsborough
Tampa,33612,Hillsborough
Tampa,33613,Hillsborough
Tampa,33614,Hillsborough
Tampa,33615,Hillsborough
Tampa,33616,Hillsborough
Tampa,33617,Hillsborough
Tampa,33618,Hillsborough
Tampa,33619,Hillsborough
Tampa,33620,Hillsborough
Tampa,33621,Hillsborough
Tampa,33624,Hillsborough
Tampa,33625,Hillsborough
Tampa,33626,Hillsborough
Tampa,33629,Hillsborough
Tampa,33634,Hillsborough
Tampa,33635,Hillsborough
Tampa,33637,Hillsborough
Tampa,33647,Hillsborough
Brandon,33508,Hillsborough
Brandon,33509,Hillsborough
Brandon,33510,Hillsborough
Brandon,33511,Hillsborough
Riverview,33569,Hillsborough
Apollo Beach,33572,Hillsborough
Riverview,33578,Hillsborough
Riverview,33579,Hillsborough
Plant City,33563,Hillsborough
Plant City,33564,Hillsborough
Plant City,33565,Hillsborough
Plant City,33566,Hillsborough
Plant City,33567,Hillsborough
Ruskin,33570,Hillsborough
Sun City Center,33573,Hillsborough
Sun City Center,33586,Hillsborough
Wimauma,33598,Hillsborough
Dover,33527,Hillsborough
Lithia,33547,Hillsborough
Valrico,33594,Hillsborough
Valrico,33596,Hillsborough
Lutz,33548,Hillsborough
Lutz,33549,Hillsborough
Odessa,33556,Hillsborough
Lutz,33558,Hillsborough
Lutz,33559,Hillsborough
Balm,33530,Hillsborough
Dover,33534,Hillsborough
Gibsonton,33550,Hillsborough
Seffner,33584,Hillsborough
Thonotosassa,33592,Hillsborough
